Song_ID,name,artist
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Doja Cat 
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE 
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars 
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars 
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid 
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande 
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande 
4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,Gotye Kimbra 
2H1047e0oMSj10dgp7p2VG,I Gotta Feeling,Black Eyed Peas 
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Drake Lil Durk 
