index,Song_ID,name,artist,tempo,instrumentalness,danceability,mode,time_signature,key
1,7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd ,113.003,0,0.585,0,4,0
2,3JvrhDOgAt6p7K8mDyZwRd,Riptide,Vance Joy ,101.654,0,0.484,1,4,1
3,3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles ,99.048,7e-06,0.676,1,4,8
4,3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),Doja Cat SZA ,110.97,8.92e-05,0.764,1,4,8
5,0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji ,88.964,0.00598,0.515,1,4,3
6,161DnLWsx1i3u1JT05lzqU,Talking to the Moon,Bruno Mars ,145.867,0,0.498,0,4,1
7,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber Daniel Caesar Giveon ,90.03,0,0.677,1,4,0
8,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis ,83.97,0,0.653,0,4,11
9,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars ,143.994,0,0.726,1,4,5
10,5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus ,96.021,0.000115,0.652,0,4,10
